Codelist,Code,Label,ParentCode
offence,4.9,Causing death or serious injury by driving: unlicensed drivers etc.,assault-with-injury
offence,4.7,Causing or allowing death of child or vulnerable person,assault-with-injury
offence,22A,Causing sexual activity without consent,abuse-of-children-through-sexual-exploitation
offence,13,Child abduction,assault-without-injury
offence,15,Concealing an infant death close to birth,absconding-from-lawful-custody
offence,3A,Conspiracy to murder,assault-without-injury
offence,58B,Criminal damage to a building other than a dwelling,criminal-damage-to-a-building-other-than-a-dwelling
offence,58A,Criminal damage to a dwelling,criminal-damage-to-a-building-other-than-a-dwelling
offence,58C,Criminal damage to a vehicle,criminal-damage-to-a-building-other-than-a-dwelling
offence,11A,Cruelty to children/young persons,assault-without-injury
offence,802,Dangerous driving,absconding-from-lawful-custody
offence,95,"Disclosure, obstruction, false or misleading statements etc",absconding-from-lawful-custody
offence,43,Dishonest use of electricity,blackmail
offence,28C,Distraction burglary in a dwelling (outcome only),aggravated-burglary-in-a-dwelling-(outcome-only)
offence,28G,Distraction Burglary Residential,aggravated-burglary-in-a-dwelling-(outcome-only)
offence,5E,Endangering life,assault-with-injury
offence,24,Exploitation of prostitution,absconding-from-lawful-custody
offence,88E,Exposure and voyeurism,abuse-of-children-through-sexual-exploitation
offence,60,Forgery or use of false drug prescription,absconding-from-lawful-custody
offence,814,"Fraud, forgery etc associated with vehicle or driver records",absconding-from-lawful-custody
offence,33,"Going equipped for stealing, etc",absconding-from-lawful-custody
offence,54,Handling stolen goods,absconding-from-lawful-custody
offence,8L,Harassment,harassment
offence,1/4.1/4.10/4.2,Homicide,homicide
offence,23,Incest or familial sexual offences,abuse-of-children-through-sexual-exploitation
offence,4.3,Intentional destruction of a viable unborn child,assault-with-injury
offence,126,Interfering with a motor vehicle,interfering-with-a-motor-vehicle
offence,36,Kidnapping,assault-without-injury
offence,49A,Making off without payment,blackmail
offence,33A,"Making, supplying or possessing articles for use in fraud",absconding-from-lawful-custody
offence,8R,Malicious Communications,harassment
offence,106,Modern slavery,assault-without-injury
offence,86,Obscene publications etc,absconding-from-lawful-custody
offence,69,Offender Management Act offences,absconding-from-lawful-custody
offence,58D,Other criminal damage,criminal-damage-to-a-building-other-than-a-dwelling
offence,92C,Other drug offences,other-drug-offences
offence,81,Other firearms offences,other-firearms-offences
offence,61,Other forgery,absconding-from-lawful-custody
offence,90,Other knives offences,other-firearms-offences
offence,88C,Other miscellaneous sexual offences,abuse-of-children-through-sexual-exploitation
offence,99,Other notifiable offences,absconding-from-lawful-custody
offence,66,Other offences against the State or public order,other-offences-against-the-state-or-public-order
offence,49,Other theft,blackmail
offence,67,Perjury,absconding-from-lawful-custody
offence,79,Perverting the course of justice,absconding-from-lawful-custody
offence,10D,Possession of article with blade or point,other-firearms-offences
offence,92E,Possession of controlled drugs (Cannabis),other-drug-offences
offence,92D,Possession of controlled drugs (excl. Cannabis),other-drug-offences
offence,61A,Possession of false documents,absconding-from-lawful-custody
offence,10B,Possession of firearms offences,other-firearms-offences
offence,10A,Possession of firearms with intent,other-firearms-offences
offence,10C,Possession of other weapons,other-firearms-offences
offence,14,Procuring illegal abortion,assault-without-injury
offence,38,Profiting from or concealing knowledge of the proceeds of crime,absconding-from-lawful-custody
offence,9A,"Public fear, alarm or distress",other-offences-against-the-state-or-public-order
offence,8P,Racially or religiously aggravated assault with injury,assault-with-injury
offence,105B,Racially or religiously aggravated assault without injury,assault-without-injury
offence,58J,Racially or religiously aggravated criminal damage,criminal-damage-to-a-building-other-than-a-dwelling
offence,8M,Racially or religiously aggravated harassment,assault-without-injury
offence,9B,"Racially or religiously aggravated public fear, alarm or distress",other-offences-against-the-state-or-public-order
offence,19C,Rape of a female aged 16 and over,rape-of-a-female-aged-16-and-over
offence,19E,Rape of a female child under 13,rape-of-a-female-aged-16-and-over
offence,19D,Rape of a female child under 16,rape-of-a-female-aged-16-and-over
offence,19F,Rape of a male aged 16 and over,rape-of-a-female-aged-16-and-over
offence,19H,Rape of a male child under 13,rape-of-a-female-aged-16-and-over
offence,19G,Rape of a male child under 16,rape-of-a-female-aged-16-and-over
offence,34A,Robbery of business property,robbery-of-business-property
offence,34B,Robbery of personal property,robbery-of-personal-property
offence,70,Sexual activity etc with a person with a mental disorder,abuse-of-children-through-sexual-exploitation
offence,21,Sexual activity involving a child under 13,abuse-of-children-through-sexual-exploitation
offence,22B,Sexual activity involving child under 16,abuse-of-children-through-sexual-exploitation
offence,20A,Sexual assault on a female aged 13 and over,abuse-of-children-through-sexual-exploitation
offence,20B,Sexual assault on a female child under 13,abuse-of-children-through-sexual-exploitation
offence,17A,Sexual assault on a male aged 13 and over,abuse-of-children-through-sexual-exploitation
offence,17B,Sexual assault on a male child under 13,abuse-of-children-through-sexual-exploitation
offence,88A,Sexual grooming,abuse-of-children-through-sexual-exploitation
offence,46,Shoplifting,shoplifting
offence,27,Soliciting for the purposes of prostitution,absconding-from-lawful-custody
offence,8Q,Stalking,assault-without-injury
offence,41,Theft by an employee,blackmail
offence,47,Theft from automatic machine or meter,blackmail
offence,39,Theft from the person,theft-from-the-person
offence,45,Theft from vehicle,theft-from-vehicle
offence,40,Theft in a dwelling other than from an automatic machine or meter,blackmail
offence,42,Theft of mail,blackmail
offence,44,Theft or unauthorised taking of a pedal cycle,theft-or-unauthorised-taking-of-a-pedal-cycle
offence,48,Theft or unauthorised taking of motor vehicle,aggravated-vehicle-taking
offence,59,Threat or possession with intent to commit criminal damage,absconding-from-lawful-custody
offence,3B,Threats to kill,assault-without-injury
offence,72,Trafficking for sexual exploitation,abuse-of-children-through-sexual-exploitation
offence,92A,Trafficking in controlled drugs,trafficking-in-controlled-drugs
offence,88D,Unnatural sexual offences,abuse-of-children-through-sexual-exploitation
offence,62A,Violent disorder,other-offences-against-the-state-or-public-order
offence,96,Wildlife,absconding-from-lawful-custody
offence,80,Absconding from lawful custody,absconding-from-lawful-custody
offence,71,Abuse of children through sexual exploitation,abuse-of-children-through-sexual-exploitation
offence,73,Abuse of position of trust of a sexual nature,abuse-of-children-through-sexual-exploitation
offence,31A,Aggravated Burglary Business and Community,aggravated-burglary-business-and-community
offence,31,Aggravated burglary in a building other than a dwelling(outcome only),aggravated-burglary-business-and-community
offence,29,Aggravated burglary in a dwelling (outcome only),aggravated-burglary-in-a-dwelling-(outcome-only)
offence,29A,Aggravated Burglary Residential,aggravated-burglary-in-a-dwelling-(outcome-only)
offence,37.2,Aggravated vehicle taking,aggravated-vehicle-taking
offence,76,Aiding suicide,absconding-from-lawful-custody
offence,56A,Arson endangering life,arson-endangering-life
offence,56B,Arson not endangering life,arson-endangering-life
offence,8N,Assault with injury,assault-with-injury
offence,8S,Assault with injury on a constable,assault-with-injury
offence,5D,Assault with intent to cause serious harm,assault-with-injury
offence,105A,Assault without injury,assault-without-injury
offence,104,Assault without injury on a constable,assault-without-injury
offence,30D,Attempted Burglary Business and Community,aggravated-burglary-business-and-community
offence,30B,Attempted burglary in a building other than a dwelling (outcome only),aggravated-burglary-business-and-community
offence,28B,Attempted burglary in a dwelling (outcome only),aggravated-burglary-in-a-dwelling-(outcome-only)
offence,28F,Attempted Burglary Residential,aggravated-burglary-in-a-dwelling-(outcome-only)
offence,28D,Attempted distraction burglary in a dwelling (outcome only),aggravated-burglary-in-a-dwelling-(outcome-only)
offence,28H,Attempted Distraction Burglary Residential,aggravated-burglary-in-a-dwelling-(outcome-only)
offence,2,Attempted murder,assault-with-injury
offence,83,Bail offences,absconding-from-lawful-custody
offence,26,Bigamy,absconding-from-lawful-custody
offence,35,Blackmail,blackmail
offence,30C,Burglary Business and Community,aggravated-burglary-business-and-community
offence,30A,Burglary in a building other than a dwelling (outcome only),aggravated-burglary-business-and-community
offence,28A,Burglary in a dwelling(outcome only),aggravated-burglary-in-a-dwelling-(outcome-only)
offence,28E,Burglary Residential,aggravated-burglary-in-a-dwelling-(outcome-only)
offence,37.1,Causing death by aggravated vehicle taking,assault-with-injury
offence,4.6,Causing death by careless driving under influence of drink or drugs,assault-with-injury
offence,4.8,Causing death by careless or inconsiderate driving,assault-with-injury
offence,4.4,Causing death by dangerous driving,assault-with-injury
offence,4.9,Causing death or serious injury by driving: unlicensed drivers etc.,assault-with-injury
offence,4.7,Causing or allowing death of child or vulnerable person,assault-with-injury
offence,22A,Causing sexual activity without consent,abuse-of-children-through-sexual-exploitation
offence,13,Child abduction,assault-without-injury
offence,15,Concealing an infant death close to birth,absconding-from-lawful-custody
offence,3A,Conspiracy to murder,assault-without-injury
offence,58B,Criminal damage to a building other than a dwelling,criminal-damage-to-a-building-other-than-a-dwelling
offence,58A,Criminal damage to a dwelling,criminal-damage-to-a-building-other-than-a-dwelling
offence,58C,Criminal damage to a vehicle,criminal-damage-to-a-building-other-than-a-dwelling
offence,11A,Cruelty to children/young persons,assault-without-injury
offence,802,Dangerous driving,absconding-from-lawful-custody
